Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,AUT,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,14.47854226,13.87401409,15.16254183,14.09596687,12.76657895,11.34882936,10.23461264,9.53034458,9.612433349,9.092880731,9.589356021,8.073236593,8.239838903,7.865689671,7.891519298,7.711685682,6.94243706,6.436587233,6.61006019,6.761130014,6.617112281,6.524212509,6.36714661,6.47300113,6.041042133,5.703157746,5.475487071,5.204347464,5.178568281,5.108880999,5.41475803,5.453907469,5.696855839,6.075914753,6.492317156,6.359967709,6.305792627,5.436605667,5.795020052,6.155611057,6.141247596,5.924914215,6.089702027,5.862988948,6.277464418,6.767509518,7.861956192,7.29372877,7.054450343,7.365207182,7.686342012,7.903795929,8.011097062,8.08796197,7.802509241,7.478982776
Azerbaijan,AZE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.09743992,22.61961414,16.19926112,19.73971027,18.57579703,16.15714842,14.15343169,11.74867213,11.6948883,10.47422747,10.45394541,15.81217232,15.61472972,15.7422287,18.54494509,14.10316367,14.60143079,15.74405362,17.51763586,14.66847969,18.264623,18.98158994,15.59583041
Burundi,BDI,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,17.51923434,,,,,,,,,21.56824641,16.18672342,19.03751505,,,,,,,,,,,,,,,,,15.03888077,22.17113577,20.91036203,15.85946802,18.3876198,19.60251926,11.16003979,22.98278117,13.09978128,11.15026494,15.61728199,9.004194305,6.488021464,22.17025039,12.43092574,11.20171233,12.54269133,13.71137311,24.67621745,30.13399324,13.98723187,13.06191166,12.62100437,16.55016237,18.90660453,16.67238501
Belgium,BEL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,13.77965044,13.22325894,13.44590861,14.31928874,13.71713165,14.95276237,13.32034106,12.60783903,13.07520885,13.25046393,13.27362587,13.33236895,11.61361951,12.9529857,12.82563943,13.18624244,12.84318705,12.22185379,11.11743012,11.83109608,12.47213479,12.13437429,12.33670428,11.72917745,11.71731819,11.32227101,11.15148716,10.21011128,9.86978185,10.46705196,10.8876317,11.08362086,11.13550142,11.16596726,10.63145533,10.71213234,10.47015559,9.896314689,8.415405574,8.64771013,8.549187478,8.730439444,8.149358127,7.651148424,7.342562225,7.674601719,8.133067539,9.24418946,8.316029399,8.452970662,8.668288355,8.700885722,9.083624112,9.205463896,9.671536945,9.65842967,8.920806588
Benin,BEN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,26.36640428,22.63416313,24.37111208,22.79519987,24.69255462,21.83835018,21.80343125,19.56422649,17.8162044,17.15797146,20.94113797,21.82943701,17.84938909,,,,,23.42441606,26.26818892,,24.91914309,,,,,,,,,,37.8330969,35.49176639,35.82204205,27.33856884,31.06349045,26.54082065,24.839403,22.96975957,21.8673893,20.36092773,23.87632384,24.21419838,24.56537392,29.94204175,30.67818682,31.15944293,36.13604692,31.09403447,38.64011493,33.92059868,37.8897944,40.33261381,45.84837222,41.26969703,48.97352029,54.94842586,
Burkina Faso,BFA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,20.72059211,24.9128905,27.09173699,24.8465508,28.34576617,26.98249357,21.52583929,19.35323481,20.43757855,22.00545112,25.79253242,26.02032302,34.52546652,21.169511,18.92910529,20.39628968,28.4499019,21.84602045,20.49410324,24.71556686,25.24346437,25.5114052,,,,,,,,,,,,21.23247565,22.32879692,16.5468648,20.61614834,17.72450406,12.57204328,14.98261929,21.28797061,19.07484391,17.55247429,18.28498379,,15.95381074,16.74570219,15.71642384,15.11240441,16.59506498,13.1397294,12.0515485,12.65406207,13.95814907,13.68264026,12.20102952,
Bangladesh,BGD,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,17.60590379,20.58624902,25.3097064,23.62637587,20.18779307,25.97142627,19.96493169,28.98846851,24.25271061,20.868975,24.19070966,28.5893331,24.13557608,18.95418669,17.34242737,18.26818796,15.92992365,,17.30367791,17.03040528,16.8617218,15.28631058,,16.4758814,17.38931956,14.60093982,19.18754012,15.60734248,13.89621217,16.69880283,22.4615909,18.32235384,18.67739955,17.42251137,19.49343614,14.46931076,16.86376441,,16.55993033,,,
Bulgaria,BGR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.709342089,,,,7.622623295,8.504640789,7.478958026,5.978199179,5.214190582,5.39156114,5.839821387,5.362887812,5.397456453,4.662527263,4.641035824,5.767625868,6.835890071,9.998013685,9.561565382,9.284819159,8.859618798,9.088603308,8.892344778,9.692580385,10.47402979,10.03459552,9.737112386
Bahrain,BHR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,20.35661225,12.03381139,10.93504637,11.22079701,6.279558286,6.430109615,7.322965945,6.680919382,8.058830415,14.95958369,16.68552217,12.7508778,12.66650314,12.81096344,14.75965887,15.5370563,17.66985843,16.8416778,17.66671108,15.94290956,16.45801511,14.30395447,13.55481628,16.18722163,10.78159209,12.29715473,19.15744137,,,,9.698927338,11.74094727,10.93425411,9.570337156,8.105598903,6.789561014,5.724343253,5.164798726,6.285848443,7.974869977,7.569564219,8.274316249,10.8547288,9.253616875,9.519208136,11.82101487,12.0418724,,
"Bahamas, The",BHS,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,4.204194717,2.618039315,2.664289308,,,,2.040464733,1.51410068,2.862871432,3.440158861,4.393544926,6.045542198,5.965803381,7.27864922,9.397825326,,,,,,,18.75747516,,16.26548764,16.49362238,17.99555778,16.71726997,17.5055713,18.6425662,18.12663748,18.35509816,15.64370573,14.77785447,15.2148411,15.6419465,18.37160689,17.52926636,15.86005,15.87542047,16.10530188,16.05106925,19.33429909,,,
