id,cuisine
554,italian
555,mexican
556,greek
557,italian
558,italian
559,spanish
560,southern_us
561,mexican
562,mexican
563,italian
564,mexican
565,chinese
566,mexican
567,moroccan
568,italian
569,mexican
570,chinese
571,mexican
572,southern_us
573,southern_us
574,southern_us
575,italian
576,italian
577,mexican
578,chinese
579,southern_us
580,thai
581,chinese
582,southern_us
583,moroccan
584,southern_us
585,italian
586,italian
587,french
588,cajun_creole
589,italian
590,french
591,italian
592,italian
593,italian
594,mexican
595,russian
596,korean
597,italian
598,mexican
599,southern_us
600,italian
601,russian
602,cajun_creole
603,chinese
604,mexican
605,irish
606,southern_us
607,mexican
608,filipino
609,southern_us
610,italian
611,chinese
612,southern_us
613,mexican
614,filipino
615,chinese
616,filipino
617,italian
618,italian
619,french
620,mexican
621,moroccan
622,southern_us
623,italian
624,southern_us
625,filipino
626,mexican
627,southern_us
628,southern_us
629,italian
630,southern_us
631,southern_us
632,southern_us
633,italian
634,southern_us
635,southern_us
636,southern_us
637,southern_us
638,cajun_creole
639,chinese
640,southern_us
641,mexican
642,italian
643,mexican
644,southern_us
645,filipino
646,italian
647,southern_us
648,cajun_creole
649,filipino
650,italian
651,italian
652,southern_us
653,italian
654,mexican
655,mexican
656,southern_us
657,indian
658,french
659,southern_us
660,jamaican
661,italian
662,southern_us
663,mexican
664,southern_us
665,filipino
666,italian
667,italian
668,mexican
669,mexican
670,italian
671,mexican
672,british
673,chinese
674,korean
675,thai
676,italian
677,chinese
678,southern_us
679,southern_us
680,italian
681,spanish
682,southern_us
683,italian
684,italian
685,southern_us
686,southern_us
687,italian
688,italian
689,cajun_creole
690,mexican
691,italian
692,southern_us
693,italian
694,southern_us
695,italian
696,southern_us
697,greek
698,italian
699,chinese
700,italian
701,italian
702,russian
703,southern_us
704,southern_us
705,italian
706,cajun_creole
707,italian
708,mexican
709,italian
710,british
711,southern_us
712,mexican
713,filipino
714,mexican
715,mexican
716,italian
717,italian
718,chinese
719,southern_us
720,italian
721,italian
722,greek
723,mexican
724,southern_us
725,italian
726,southern_us
727,french
728,cajun_creole
729,italian
730,southern_us
731,cajun_creole
732,italian
733,japanese
734,italian
735,thai
736,greek
737,italian
738,italian
739,mexican
740,chinese
741,indian
742,filipino
743,mexican
744,italian
745,southern_us
746,filipino
747,southern_us
748,mexican
749,italian
750,italian
751,mexican
752,mexican
753,russian
754,italian
755,southern_us
756,italian
757,italian
758,italian
759,italian
760,italian
761,greek
762,southern_us
763,british
764,italian
765,french
766,mexican
767,italian
768,italian
769,chinese
770,italian
771,italian
772,italian
773,chinese
774,filipino
775,italian
776,italian
777,italian
778,southern_us
779,southern_us
780,british
781,korean
782,italian
783,filipino
784,british
785,mexican
786,jamaican
787,chinese
788,italian
789,british
790,cajun_creole
791,thai
792,filipino
793,chinese
794,spanish
795,southern_us
796,southern_us
797,cajun_creole
798,italian
799,italian
800,thai
801,italian
802,italian
803,brazilian
804,mexican
805,mexican
806,greek
807,italian
808,italian
809,chinese
810,southern_us
811,italian
812,chinese
813,southern_us
814,cajun_creole
815,southern_us
816,mexican
817,italian
818,cajun_creole
819,mexican
820,filipino
821,jamaican
822,filipino
823,southern_us
824,filipino
825,mexican
826,indian
827,french
828,italian
829,italian
830,southern_us
831,chinese
832,french
833,filipino
834,british
835,cajun_creole
836,southern_us
837,southern_us
838,southern_us
839,southern_us
840,filipino
841,italian
842,jamaican
843,mexican
844,french
845,italian
846,mexican
847,british
848,british
849,southern_us
850,filipino
851,cajun_creole
852,spanish
853,thai
854,mexican
855,southern_us
856,mexican
857,mexican
858,italian
859,southern_us
860,thai
861,southern_us
862,greek
863,southern_us
864,southern_us
865,jamaican
866,italian
867,korean
868,filipino
869,southern_us
870,italian
871,italian
872,filipino
873,italian
874,chinese
875,italian
876,italian
877,cajun_creole
878,mexican
879,italian
880,southern_us
881,italian
882,spanish
883,mexican
884,italian
885,italian
886,italian
887,italian
888,korean
889,italian
890,filipino
891,french
892,southern_us
893,mexican
894,french
895,mexican
896,southern_us
897,mexican
898,italian
899,italian
900,southern_us
901,italian
902,italian
903,filipino
904,italian
905,southern_us
906,filipino
907,cajun_creole
908,italian
909,italian
910,mexican
911,british
912,southern_us
